2026-02-15 23:41:11,358 | INFO | slack_bot | Logging to: /Users/chris/Documents/CapstoneChatbot/project-bereal-chatbot/bot.log
2026-02-15 23:41:11,359 | INFO | slack_bot | Loaded .env from: /Users/chris/Documents/CapstoneChatbot/project-bereal-chatbot/.env (loaded=True)
2026-02-15 23:41:11,817 | INFO | slack_bot | Starting bot in Socket Mode…
2026-02-15 23:41:12,547 | INFO | slack_bot | A new session has been established (session id: 773b61ed-d90f-4566-a5bf-858fc5201e49)
2026-02-15 23:41:12,548 | INFO | slack_bot | Starting to receive messages from a new connection (session id: 773b61ed-d90f-4566-a5bf-858fc5201e49)
2026-02-15 23:41:12,548 | INFO | slack_bot | ⚡️ Bolt app is running!
2026-02-15 23:46:26,659 | INFO | slack_bot | Logging to: /Users/chris/Documents/CapstoneChatbot/project-bereal-chatbot/bot.log
2026-02-15 23:46:26,660 | INFO | slack_bot | Loaded .env from: /Users/chris/Documents/CapstoneChatbot/project-bereal-chatbot/.env (loaded=True)
2026-02-15 23:46:26,872 | INFO | slack_bot | Starting bot in Socket Mode…
2026-02-15 23:46:27,342 | INFO | slack_bot | A new session has been established (session id: 977497ba-0219-4f09-8312-6d1305e4099a)
2026-02-15 23:46:27,342 | INFO | slack_bot | ⚡️ Bolt app is running!
2026-02-15 23:46:27,393 | INFO | slack_bot | Starting to receive messages from a new connection (session id: 977497ba-0219-4f09-8312-6d1305e4099a)
2026-02-15 23:48:59,778 | INFO | slack_bot | Logging to: /Users/chris/Documents/CapstoneChatbot/project-bereal-chatbot/bot.log
2026-02-15 23:48:59,779 | INFO | slack_bot | Loaded .env from: /Users/chris/Documents/CapstoneChatbot/project-bereal-chatbot/.env (loaded=True)
2026-02-15 23:48:59,979 | INFO | slack_bot | Starting bot in Socket Mode…
2026-02-15 23:49:00,410 | INFO | slack_bot | A new session has been established (session id: af229048-9699-446b-8f62-a9372a92a1e6)
2026-02-15 23:49:00,410 | INFO | slack_bot | ⚡️ Bolt app is running!
2026-02-15 23:49:00,497 | INFO | slack_bot | Starting to receive messages from a new connection (session id: af229048-9699-446b-8f62-a9372a92a1e6)
2026-02-15 23:49:13,246 | INFO | slack_bot | INCOMING | type=event_callback | event_type=message
2026-02-15 23:49:13,247 | INFO | slack_bot | RECEIVED_MESSAGE | channel=C0ACK50KUUU | user_or_bot=U0ACDF40FAA | subtype=None | ts=1771217352.473369 | text=yo
2026-02-15 23:49:13,248 | INFO | slack_bot | SENDING | channel=C0ACK50KUUU | text=yo 👋 (logged)
2026-02-16 00:00:55,694 | INFO | slack_bot | The connection seems to be stale. Disconnecting... (session id: af229048-9699-446b-8f62-a9372a92a1e6, reason: disconnected for 635+ seconds)
2026-02-16 00:00:56,429 | ERROR | slack_bot | on_error invoked (session id: af229048-9699-446b-8f62-a9372a92a1e6, error: ConnectionResetError, message: [Errno 54] Connection reset by peer)
2026-02-16 00:00:56,429 | INFO | slack_bot | The connection has been closed (session id: af229048-9699-446b-8f62-a9372a92a1e6)
2026-02-16 00:00:56,430 | INFO | slack_bot | Stopped receiving messages from a connection (session id: af229048-9699-446b-8f62-a9372a92a1e6)
2026-02-16 00:00:56,430 | INFO | slack_bot | The session seems to be already closed. Reconnecting... (session id: af229048-9699-446b-8f62-a9372a92a1e6)
2026-02-16 00:00:56,431 | INFO | slack_bot | Connecting to a new endpoint...
2026-02-16 00:00:58,163 | INFO | slack_bot | The connection has been closed (session id: af229048-9699-446b-8f62-a9372a92a1e6)
2026-02-16 00:00:58,163 | INFO | slack_bot | A new session has been established (session id: 77dc6dc2-f4ad-435f-bda5-ddd10db2a29f)
2026-02-16 00:00:58,163 | INFO | slack_bot | Connected to a new endpoint...
2026-02-16 00:00:58,231 | INFO | slack_bot | Starting to receive messages from a new connection (session id: 77dc6dc2-f4ad-435f-bda5-ddd10db2a29f)
2026-02-16 00:02:23,066 | INFO | slack_bot | The connection seems to be stale. Disconnecting... (session id: 77dc6dc2-f4ad-435f-bda5-ddd10db2a29f, reason: disconnected for 84+ seconds)
2026-02-16 00:02:23,239 | ERROR | slack_bot | on_error invoked (session id: 77dc6dc2-f4ad-435f-bda5-ddd10db2a29f, error: ConnectionResetError, message: [Errno 54] Connection reset by peer)
2026-02-16 00:02:23,240 | INFO | slack_bot | The connection has been closed (session id: 77dc6dc2-f4ad-435f-bda5-ddd10db2a29f)
2026-02-16 00:02:23,240 | ERROR | slack_bot | Failed to disconnect (session id: 77dc6dc2-f4ad-435f-bda5-ddd10db2a29f, error: 'NoneType' object has no attribute 'close')
2026-02-16 00:02:23,240 | INFO | slack_bot | The session seems to be already closed. Reconnecting... (session id: 77dc6dc2-f4ad-435f-bda5-ddd10db2a29f)
2026-02-16 00:02:23,242 | INFO | slack_bot | Connecting to a new endpoint...
2026-02-16 00:02:23,242 | INFO | slack_bot | Stopped receiving messages from a connection (session id: 77dc6dc2-f4ad-435f-bda5-ddd10db2a29f)
2026-02-16 00:02:24,559 | INFO | slack_bot | The connection has been closed (session id: 77dc6dc2-f4ad-435f-bda5-ddd10db2a29f)
2026-02-16 00:02:24,559 | INFO | slack_bot | A new session has been established (session id: 734b0ae2-ab32-48fd-9fb7-4c52ff00a1db)
2026-02-16 00:02:24,559 | INFO | slack_bot | Connected to a new endpoint...
2026-02-16 00:02:24,616 | INFO | slack_bot | Starting to receive messages from a new connection (session id: 734b0ae2-ab32-48fd-9fb7-4c52ff00a1db)
2026-02-16 00:03:13,268 | INFO | slack_bot | The connection seems to be stale. Disconnecting... (session id: 734b0ae2-ab32-48fd-9fb7-4c52ff00a1db, reason: disconnected for 48+ seconds)
2026-02-16 00:03:13,402 | ERROR | slack_bot | on_error invoked (session id: 734b0ae2-ab32-48fd-9fb7-4c52ff00a1db, error: ConnectionResetError, message: [Errno 54] Connection reset by peer)
2026-02-16 00:03:13,402 | INFO | slack_bot | The connection has been closed (session id: 734b0ae2-ab32-48fd-9fb7-4c52ff00a1db)
2026-02-16 00:03:13,404 | INFO | slack_bot | Stopped receiving messages from a connection (session id: 734b0ae2-ab32-48fd-9fb7-4c52ff00a1db)
2026-02-16 00:03:13,404 | INFO | slack_bot | The session seems to be already closed. Reconnecting... (session id: 734b0ae2-ab32-48fd-9fb7-4c52ff00a1db)
2026-02-16 00:03:13,404 | INFO | slack_bot | Connecting to a new endpoint...
